player,episode,date,team_reported,status,player_id,cricsheet_name,candidates
Rohit Sharma,1,2022-06-25,India,manual: RG Sharma plays for India and Mumbai Indians,740742ef,,RG Sharma [740742ef] India; Mumbai Indians n=325 | RP Sharma [805b89d7] Haryana n=23
Roston Chase,1,2021-12-11,West Indies,unique,3feda4fa,RL Chase,RL Chase [3feda4fa] West Indies; St Lucia Kings; St Lucia Zouks; Barbados Tridents n=133
Ruturaj Gaikwad,1,2020-08-28,India / Chennai Super Kings,unique,45a43fe2,RD Gaikwad,RD Gaikwad [45a43fe2] Chennai Super Kings; Maharashtra; India n=110
Ruturaj Gaikwad,2,2022-02-01,India,unique,45a43fe2,RD Gaikwad,RD Gaikwad [45a43fe2] Chennai Super Kings; Maharashtra; India n=110
S Badrinath,1,2021-03-28,India Legends (retired),unmatched,,,
S Meghana,1,2022-07-26,India women,unique,302fb7ae,S Meghana,S Meghana [302fb7ae] India; Gujarat Giants; Trailblazers n=21
Sachin Tendulkar,1,2021-03-27,India Legends (retired),unmatched,,,
Sachindu Colombage,1,2021-08-09,Sri Lanka domestic,unique,4b6f6b73,S Colombage,S Colombage [4b6f6b73] Kandy Warriors; Dambulla Viiking n=9
Saif Hassan,1,2020-09-07,Bangladesh,unique,bb95564b,Saif Hassan,Saif Hassan [bb95564b] Bangladesh; Fortune Barishal; Khulna Tigers n=16
Sam Whiteman,1,2021-12-30,Sydney Thunder,unique,f4427cc6,SM Whiteman,SM Whiteman [f4427cc6] Western Australia; Northamptonshire; Perth Scorchers; Sydney Thunder n=88
Sana Mir,1,2021-01-04,Pakistan women (former captain),unique,b287e7b1,Sana Mir,Sana Mir [b287e7b1] Pakistan; Sapphires n=60
Sandeep Warrier,1,2021-05-03,Kolkata Knight Riders,unique,cdc6bdba,S Sandeep Warrier,S Sandeep Warrier [cdc6bdba] Kerala; Tamil Nadu; Kolkata Knight Riders; India n=34
Sandun Weerakkody,1,2021-07-10,Sri Lanka (alternative/back-up national squad),unique,3473e5f2,DS Weerakkody,DS Weerakkody [3473e5f2] Sri Lanka; Dambulla Giants n=5
Sarel Erwee,1,2022-04-11,South Africa,unique,a3ce3d1d,SJ Erwee,SJ Erwee [a3ce3d1d] Dolphins; South Africa; Sunrisers Eastern Cape; Durban Heat n=41
Sarfaraz Ahmed,1,2020-11-24,Pakistan,manual: Cricsheet spells Sarfraz Ahmed; Pakistan wicketkeeper; auto-match to S Waqas Ahmed was wrong,2254ab79,S Waqas Ahmed,S Waqas Ahmed [fb27d38c] Norway n=12
Shadab Khan,1,2020-06-21,Pakistan,unique,9de62878,Shadab Khan,Shadab Khan [9de62878] Pakistan; Islamabad United; Yorkshire; Sussex n=294
Shahid Afridi,1,2020-06-13,Pakistan / Multan Sultans,unique,0dc00542,Shahid Afridi,Shahid Afridi [0dc00542] Multan Sultans; Comilla Victorians; Hampshire; Peshawar Zalmi n=86
Shahid Afridi,2,2022-01-27,Quetta Gladiators,unique,0dc00542,Shahid Afridi,Shahid Afridi [0dc00542] Multan Sultans; Comilla Victorians; Hampshire; Peshawar Zalmi n=86
Shai Hope,1,2021-01-24,Barbados Pride / West Indies,unique,1fc6ef83,SD Hope,SD Hope [1fc6ef83] West Indies; Guyana Amazon Warriors; Barbados Tridents; Barbados Royals n=226
Shai Hope,2,2021-12-15,West Indies,unique,1fc6ef83,SD Hope,SD Hope [1fc6ef83] West Indies; Guyana Amazon Warriors; Barbados Tridents; Barbados Royals n=226
Shaik Rasheed,1,2022-01-19,India U19,unique,cbf58a86,SK Rasheed,SK Rasheed [cbf58a86] Andhra n=4
Shakib Al Hasan,1,2022-05-10,Bangladesh,unique,7dc35884,Shakib Al Hasan,Shakib Al Hasan [7dc35884] Bangladesh; Dhaka Dynamites; Fortune Barishal; Sunrisers Hyderabad n=256
Shane Getkate,1,2021-12-31,Ireland,unique,c8065f31,SC Getkate,SC Getkate [c8065f31] North-West Warriors; Ireland; Northern Knights n=91
Sheldon Cottrell,1,2021-12-11,West Indies,unique,a1d053dd,SS Cottrell,SS Cottrell [a1d053dd] West Indies; St Kitts and Nevis Patriots; Desert Vipers; Kings XI Punjab n=136
Shikhar Dhawan,1,2022-01-31,India,unique,0a476045,S Dhawan,S Dhawan [0a476045] India; Delhi Capitals; Sunrisers Hyderabad; Punjab Kings n=260
Shiran Fernando,1,2021-05-23,Sri Lanka,manual: SIP Fernando is the only Sri Lanka candidate,5838cb64,,SIP Fernando [5838cb64] Sri Lanka n=23 | MGSM Fernando [658c2e71] Italy n=16 | RS Fernando [24d72446] Dambulla Aura; Colombo Stars n=7
Shreyas Iyer,1,2022-02-02,India,unique,85ec8e33,SS Iyer,SS Iyer [85ec8e33] India; Delhi Capitals; Delhi Daredevils; Mumbai n=223
Siddarth Yadav,1,2022-01-19,India U19,manual: No India U19 record; the automatic match SA Yadav is Suryakumar Yadav,,SA Yadav,SA Yadav [271f83cd] India; Mumbai Indians; Mumbai; Kolkata Knight Riders n=222
Simi Singh,1,2022-01-08,Ireland,unique,c9945bdf,Simi Singh,Simi Singh [c9945bdf] Ireland; Leinster Lightning n=126
Sohail Tanvir,1,2020-11-20,Pakistan / Kandy Tuskers,unique,64d43928,Sohail Tanvir,Sohail Tanvir [64d43928] Multan Sultans; Guyana Amazon Warriors; Quetta Gladiators; Sylhet Sixers n=95
Solo Nqweni,1,2020-05-07,Warriors / Eastern Province (South Africa),manual: SSN Nqweni (Warriors); last Cricsheet appearance Dec 2017,179bea21,,
Soumya Sarkar,1,2022-01-21,Khulna Tigers,unique,4d9f9686,Soumya Sarkar,Soumya Sarkar [4d9f9686] Bangladesh; Cumilla Warriors; Dhaka Dominators; Chittagong Vikings n=162
Steven Taylor,1,2021-12-21,USA,"manual: SR Taylor (male, USA); the female SR Taylor is Stafanie Taylor",a9231c3f,,SR Taylor [92cf79a8] West Indies; Sydney Thunder; Western Storm; Adelaide Strikers n=189 | SR Taylor [a9231c3f] United States of America; Jamaica Tallawahs; MI New York; Guyana Amazon Warriors n=87 | SJ Taylor [e6f36f83] England; Surrey Stars; Welsh Fire; Northern Diamonds n=67
T Natarajan,1,2021-09-22,Sunrisers Hyderabad (India),unique,ce794613,T Natarajan,T Natarajan [ce794613] Sunrisers Hyderabad; Tamil Nadu; India; Kings XI Punjab n=71
Tahlia McGrath,1,2022-08-07,Australia women,unique,ca5acfa4,TM McGrath,TM McGrath [ca5acfa4] Adelaide Strikers; Australia; Lancashire Thunder; UP Warriorz n=200
Tanveer Sangha,1,2021-12-30,Sydney Thunder,unique,52c952d9,T Sangha,T Sangha [52c952d9] Sydney Thunder; Australia; New South Wales; Birmingham Phoenix n=53
Taufeeq Umar,1,2020-05-24,Pakistan,unmatched,,,
Tim David,1,2022-02-23,Multan Sultans,unique,f1f99156,TH David,TH David [f1f99156] Hobart Hurricanes; Mumbai Indians; Australia; Singapore n=223
Tim Seifert,1,2021-05-07,Kolkata Knight Riders / New Zealand,unique,4663bd23,TL Seifert,TL Seifert [4663bd23] Northern Districts; New Zealand; Trinbago Knight Riders; Galle Titans n=197
Tim Seifert,2,2022-04-20,Delhi Capitals,unique,4663bd23,TL Seifert,TL Seifert [4663bd23] Northern Districts; New Zealand; Trinbago Knight Riders; Galle Titans n=197
Timycen Maruma,1,2020-10-22,Zimbabwe,unique,f55c526f,T Maruma,T Maruma [f55c526f] Zimbabwe n=10
Tom Banton,1,2021-03-02,Quetta Gladiators,unique,25f7b7d6,T Banton,T Banton [25f7b7d6] Somerset; England; Welsh Fire; Colombo Stars n=177
Tom Rogers,1,2022-01-03,Melbourne Stars,manual: TF Rogers plays for Melbourne Stars; TS Rogers plays for Hobart and Tasmania,7f232d46,,TS Rogers [1b04e02b] Hobart Hurricanes; Tasmania; Melbourne Renegades n=67 | TF Rogers [7f232d46] Melbourne Stars; Victoria n=27
Travis Head,1,2021-12-31,Australia,unique,12b610c2,TM Head,TM Head [12b610c2] Australia; South Australia; Adelaide Strikers; Sussex n=229
Trevon Griffith,1,2021-01-24,Guyana Jaguars,unmatched,,,
Usman Qadir,1,2022-02-23,Peshawar Zalmi,unique,33742f04,Usman Qadir,Usman Qadir [33742f04] Pakistan; Sydney Thunder; Peshawar Zalmi; Perth Scorchers n=60
Varun Chakravarthy,1,2021-05-03,Kolkata Knight Riders,manual: Cricsheet records him as CV Varun (KKR; India),5b7ab5a9,,
Wahab Riaz,1,2020-06-22,Pakistan,unique,b3118300,Wahab Riaz,Wahab Riaz [b3118300] Peshawar Zalmi; Pakistan; Barbados Tridents; Derbyshire n=198
Wahab Riaz,2,2022-01-25,Peshawar Zalmi,unique,b3118300,Wahab Riaz,Wahab Riaz [b3118300] Peshawar Zalmi; Pakistan; Barbados Tridents; Derbyshire n=198
Wanindu Hasaranga,1,2022-02-15,Sri Lanka,manual: Cricsheet records Hasaranga as PWH de Silva,a97c8ec2,,
Washington Sundar,1,2022-01-12,India,unique,f19ccfad,Washington Sundar,Washington Sundar [f19ccfad] India; Royal Challengers Bangalore; Tamil Nadu; Sunrisers Hyderabad n=151
Wiaan Mulder,1,2022-04-11,South Africa,unique,c96f6ac5,PWA Mulder,PWA Mulder [c96f6ac5] Leicestershire; South Africa; Lions; Durban's Super Giants n=130
Will Sutherland,1,2021-11-19,Victoria,unique,bc2d4f2e,W Sutherland,W Sutherland [bc2d4f2e] Victoria; Melbourne Renegades n=99
Wriddhiman Saha,1,2021-05-04,Sunrisers Hyderabad,unique,fe11caa6,WP Saha,WP Saha [fe11caa6] Sunrisers Hyderabad; Gujarat Titans; India; Bengal n=110
Yash Dhull,1,2022-01-19,India U19,unique,dd7e9b3b,YV Dhull,YV Dhull [dd7e9b3b] Delhi; Delhi Capitals n=12
Yusuf Pathan,1,2021-03-27,India Legends (retired),unique,3c6ffae8,YK Pathan,YK Pathan [3c6ffae8] Sunrisers Hyderabad; Baroda; Kolkata Knight Riders; Dubai Capitals n=66
Yuzvendra Chahal,1,2021-07-30,India,unique,57ee1fde,YS Chahal,YS Chahal [57ee1fde] India; Royal Challengers Bangalore; Rajasthan Royals; Haryana n=272
Zafar Sarfraz,1,2020-04-13,Peshawar (Pakistan),unmatched,,,
