player,episode,date,team_reported,status,player_id,cricsheet_name,candidates
Binura Fernando,1,2021-01-20,Sri Lanka,manual: B Fernando first appears Nov 2020 (LPL) as Binura; BOP Fernando first appears Feb 2019 as Oshada Fernando,dabbd0ae,,BOP Fernando [1d048deb] Sri Lanka; Galle Gladiators; Dambulla Viiking n=38 | B Fernando [dabbd0ae] Sri Lanka; Dambulla Aura; Jaffna Kings; Jaffna Stallions n=34
Binura Fernando,2,2022-02-12,Sri Lanka,manual: B Fernando first appears Nov 2020 (LPL) as Binura; BOP Fernando first appears Feb 2019 as Oshada Fernando,dabbd0ae,,BOP Fernando [1d048deb] Sri Lanka; Galle Gladiators; Dambulla Viiking n=38 | B Fernando [dabbd0ae] Sri Lanka; Dambulla Aura; Jaffna Kings; Jaffna Stallions n=34
Bismillah Khan,1,2020-11-04,Balochistan (Pakistan),unmatched,,,
Blair Tickner,1,2022-05-20,New Zealand,unique,48ad3373,BM Tickner,BM Tickner [48ad3373] Central Districts; Central Stags; New Zealand n=127
Chamika Karunaratne,1,2021-01-20,Sri Lanka,unique,fb3e0d39,C Karunaratne,C Karunaratne [fb3e0d39] Sri Lanka; Dambulla Giants; Kandy Falcons; Colombo Strikers n=100
Chirag Suri,1,2021-01-07,UAE,unique,6176f240,Chirag Suri,Chirag Suri [6176f240] United Arab Emirates; Dubai Capitals n=75
Chris Sabburg,1,2022-01-22,Perth Scorchers,unique,9fc73711,CJM Sabburg,CJM Sabburg [9fc73711] Perth Scorchers n=3
Colin Munro,1,2022-01-09,Perth Scorchers,unique,af2c687b,C Munro,C Munro [af2c687b] New Zealand; Trinbago Knight Riders; Islamabad United; Perth Scorchers n=323
Daniel Sams,1,2021-04-07,Royal Challengers Bangalore,unique,caf69bf7,DR Sams,DR Sams [caf69bf7] Sydney Thunder; Essex; Trent Rockets; Mumbai Indians n=168
Danish Aziz,1,2020-11-24,Pakistan,unique,a4799701,Danish Aziz,Danish Aziz [a4799701] Karachi Kings; Pakistan; Islamabad United; Quetta Gladiators n=12
David Willey,1,2020-09-16,England / Yorkshire,unique,7f048519,DJ Willey,DJ Willey [7f048519] England; Yorkshire; Perth Scorchers; Northamptonshire n=227
Deepak Chahar,1,2020-08-28,India / Chennai Super Kings,manual: DL Chahar plays for Chennai Super Kings; RD Chahar is Rahul Chahar,23eeb873,,DL Chahar [23eeb873] Chennai Super Kings; India; Rajasthan; Rising Pune Supergiant n=126 | RD Chahar [2ed569a0] Mumbai Indians; Punjab Kings; Rajasthan; India n=95
Devdutt Padikkal,1,2021-03-22,Royal Challengers Bangalore,unique,2c25d4f5,D Padikkal,D Padikkal [2c25d4f5] Royal Challengers Bangalore; Rajasthan Royals; Karnataka; India n=83
Devon Conway,1,2022-06-15,New Zealand,unique,df5a6881,DP Conway,DP Conway [df5a6881] New Zealand; Wellington; Chennai Super Kings; Wellington Firebirds n=204
Dhananjaya de Silva,1,2022-07-06,Sri Lanka,manual: DM de Silva is Dhananjaya; NND de Silva is Nishan,7d608e12,,DM de Silva [7d608e12] Sri Lanka; Dambulla Aura; Colombo Stars; Jaffna Stallions n=183 | NND de Silva [f0b4294e] Sri Lanka n=87 | ED Silva [c1b74851] Kuwait n=9 | HDRS Silva [27735054] Sri Lanka n=2
Dilbar Hussain,1,2020-12-02,Pakistan / Lahore Qalandars,unique,a968d8eb,Dilbar Hussain,Dilbar Hussain [a968d8eb] Lahore Qalandars; Melbourne Stars n=15
Evin Lewis,1,2021-12-31,West Indies,unique,0ebfb1ad,E Lewis,E Lewis [0ebfb1ad] West Indies; St Kitts and Nevis Patriots; Mumbai Indians; Dhaka Dynamites n=207
Fabian Allen,1,2021-12-31,West Indies,manual: FA Allen plays for West Indies; FH Allen is Finn Allen,b52ffbbd,,FH Allen [bf74b130] New Zealand; Wellington; Lancashire; Auckland Aces n=146 | FA Allen [b52ffbbd] West Indies; St Kitts and Nevis Patriots; Jamaica Tallawahs; Kandy Falcons n=121
Faheem Ashraf,1,2022-03-09,Pakistan,unique,bd4ea627,Faheem Ashraf,Faheem Ashraf [bd4ea627] Pakistan; Islamabad United; Northamptonshire; Hobart Hurricanes n=184
Fakhar Zaman,1,2020-06-22,Pakistan,unique,1777c020,Fakhar Zaman,Fakhar Zaman [1777c020] Pakistan; Lahore Qalandars; Glamorgan; B-Love Kandy n=246
Fawad Ahmed,1,2021-03-01,Islamabad United,unique,22ae3041,Fawad Ahmed,Fawad Ahmed [22ae3041] Perth Scorchers; Sydney Thunder; Trinbago Knight Riders; Quetta Gladiators n=146
Finn Allen,1,2021-08-24,New Zealand,manual: FH Allen plays for New Zealand,bf74b130,,FH Allen [bf74b130] New Zealand; Wellington; Lancashire; Auckland Aces n=146 | FA Allen [b52ffbbd] West Indies; St Kitts and Nevis Patriots; Jamaica Tallawahs; Kandy Falcons n=121
Gareth Delany,1,2021-12-17,Ireland,unique,33b3d2df,GJ Delany,GJ Delany [33b3d2df] Ireland; Munster Reds; Leinster Lightning; Leicestershire n=120
George Dockrell,1,2021-12-17,Ireland,unique,99cddc5e,GH Dockrell,GH Dockrell [99cddc5e] Ireland; Leinster Lightning n=187
George Dockrell,2,2022-10-23,Ireland,unique,99cddc5e,GH Dockrell,GH Dockrell [99cddc5e] Ireland; Leinster Lightning n=187
Glenn Maxwell,1,2022-01-05,Melbourne Stars,unique,b681e71e,GJ Maxwell,GJ Maxwell [b681e71e] Australia; Melbourne Stars; Royal Challengers Bangalore; Kings XI Punjab n=338
Haider Ali,1,2020-06-21,Pakistan,unique,c13e34f4,Haider Ali,Haider Ali [c13e34f4] Pakistan; Derbyshire; Peshawar Zalmi; Jamaica Tallawahs n=112
Haider Ali,2,2022-01-25,Peshawar Zalmi,unique,c13e34f4,Haider Ali,Haider Ali [c13e34f4] Pakistan; Derbyshire; Peshawar Zalmi; Jamaica Tallawahs n=112
Haris Rauf,1,2020-06-21,Pakistan,unique,24bb1c2f,Haris Rauf,Haris Rauf [24bb1c2f] Pakistan; Lahore Qalandars; Melbourne Stars; Yorkshire n=197
Haris Rauf,2,2022-03-01,Pakistan,unique,24bb1c2f,Haris Rauf,Haris Rauf [24bb1c2f] Pakistan; Lahore Qalandars; Melbourne Stars; Yorkshire n=197
Harmanpreet Kaur,1,2021-03-29,India women,unique,53cd8da6,H Kaur,H Kaur [53cd8da6] India; Melbourne Renegades; Sydney Thunder; Lancashire Thunder n=261
Harry Tector,1,2021-12-17,Ireland,manual: HT Tector plays for Ireland; TH and JB Tector are his brothers,59ea70a4,,HT Tector [59ea70a4] Ireland; Northern Knights; Leinster Lightning; Gloucestershire n=163 | TH Tector [0348f9a5] Leinster Lightning; Munster Reds n=32
Heinrich Klaasen,1,2020-12-03,South Africa,unique,235c2bb6,H Klaasen,H Klaasen [235c2bb6] South Africa; Titans; Sunrisers Hyderabad; Durban's Super Giants n=181
Henry Nicholls,1,2022-05-20,New Zealand,unique,03521fd3,HM Nicholls,HM Nicholls [03521fd3] New Zealand; Canterbury; Derbyshire n=150
Imran Khan,1,2020-06-22,Pakistan,manual: Imran Khan with Pakistan and Multan Sultans appearances; others are Portugal/Bahrain/Fiji players,2b0f2af3,,Imran Khan [2b0f2af3] Multan Sultans; Pakistan n=11 | Imran Khan [a0a32dd1] Portugal n=5
Irfan Pathan,1,2021-03-29,India Legends (retired),unique,5fa06777,IK Pathan,IK Pathan [5fa06777] Jammu & Kashmir; Kandy Tuskers; Gujarat Lions n=10
Isuru Udana,1,2021-05-23,Sri Lanka,unique,ac5ae4af,I Udana,I Udana [ac5ae4af] Sri Lanka; Paarl Rocks; Royal Challengers Bangalore; Kandy Falcons n=122
Jack Edwards,1,2022-01-26,Sydney Sixers,unique,f787e0eb,J Edwards,J Edwards [f787e0eb] Sydney Sixers; New South Wales n=64
Janith Liyanage,1,2022-01-09,Sri Lanka,unique,84212ffb,J Liyanage,J Liyanage [84212ffb] Dambulla Giants; Sri Lanka; Dambulla Aura n=9
Jaskaran Malhotra,1,2021-12-21,USA,unique,9633359f,JS Malhotra,JS Malhotra [9633359f] United States of America; Los Angeles Knight Riders n=48
Jeffrey Vandersay,1,2022-07-06,Sri Lanka,unique,aceb7654,JDF Vandersay,JDF Vandersay [aceb7654] Sri Lanka; Colombo Stars; Colombo Strikers; Colombo Kings n=39
Joe Burns,1,2022-12-13,Melbourne Stars,manual: JA Burns plays for Queensland and Melbourne Stars; RJ Burns is Rory Burns (Surrey),7a5f232a,,RJ Burns [29e8a62e] Surrey; England n=171 | JA Burns [7a5f232a] Queensland; Brisbane Heat; Australia; Melbourne Stars n=111
Joe Clarke,1,2022-01-03,Melbourne Stars,unique,2eca67f5,JM Clarke,JM Clarke [2eca67f5] Nottinghamshire; Worcestershire; Melbourne Stars; Welsh Fire n=273
Josh Inglis,1,2022-03-28,Australia,unique,989889ff,JP Inglis,JP Inglis [989889ff] Perth Scorchers; Western Australia; Australia; Leicestershire n=159
Josh Philippe,1,2022-01-26,Sydney Sixers,unique,39086549,JR Philippe,JR Philippe [39086549] Sydney Sixers; Western Australia; Australia; Sussex n=159
Junior Dala,1,2021-08-23,South Africa,unique,1cb14aa4,CJ Dala,CJ Dala [1cb14aa4] Titans; Nelson Mandela Bay Giants; South Africa; Delhi Daredevils n=64
Justin Greaves,1,2021-12-15,West Indies,unique,74d12124,JP Greaves,JP Greaves [74d12124] Barbados Tridents; Barbados Royals; West Indies n=17
KL Rahul,1,2022-07-21,India,unique,b17e2f24,KL Rahul,KL Rahul [b17e2f24] India; Kings XI Punjab; Lucknow Super Giants; Punjab Kings n=255
Kamran Akmal,1,2022-01-24,Peshawar Zalmi,unique,ff077124,Kamran Akmal,Kamran Akmal [ff077124] Peshawar Zalmi; Pakistan; St Lucia Stars n=77
Kane Williamson,1,2022-06-09,New Zealand,unique,d027ba9f,KS Williamson,KS Williamson [d027ba9f] New Zealand; Sunrisers Hyderabad; Yorkshire; Barbados Tridents n=248
Karima Gore,1,2021-12-21,USA,unique,a6bab2a9,K Gore,K Gore [a6bab2a9] United States of America n=24
Karun Nair,1,2020-08-12,India / Kings XI Punjab,unique,944533a5,KK Nair,KK Nair [944533a5] Karnataka; Kings XI Punjab; Delhi Daredevils; India n=86
Kashif Bhatti,1,2020-06-22,Pakistan,manual: Only Kashif Bhatti in Cricsheet (one 2017 appearance),e93f608d,,
Keegan Petersen,1,2022-02-02,South Africa,unique,bf64dc29,KD Petersen,KD Petersen [bf64dc29] Dolphins; South Africa; Knights; Durham n=37
Krishnappa Gowtham,1,2021-07-30,India,unique,90de905a,K Gowtham,K Gowtham [90de905a] Karnataka; Rajasthan Royals; Lucknow Super Giants; Kings XI Punjab n=62
Krunal Pandya,1,2021-07-27,India,unique,5b8c830e,KH Pandya,KH Pandya [5b8c830e] Mumbai Indians; Lucknow Super Giants; Baroda; India n=158
Kusal Mendis,1,2022-02-07,Sri Lanka,manual: BKG Mendis is Kusal Mendis,5d1e7582,,BKG Mendis [5d1e7582] Sri Lanka; Galle Gladiators; Dambulla Aura; Kandy Tuskers n=234 | PHKD Mendis [08548b13] Sri Lanka; Kandy Falcons; Kandy Warriors; B-Love Kandy n=42
