effect,effect_late,held_out_diff,n_matches,mean_dist,infected_delta,matches_delta,form2_gap,player,player_id,cluster,in_season,role,fmt,level
74.29064560135618,,,3,0.17824449171883924,20.229216216811764,-54.061429384544404,0.28592960674227275,Shahid Afridi,0dc00542,pakistan|2020-06-13,False,all,T20,club
-1.5313307774843672,25.33285174810707,-18.878930965291012,3,0.4146011353391342,18.614731504413527,20.146062281897894,-2.330525349622116,Mashrafe Mortaza,e186f49c,bangladesh|2020-06-19,True,bowl,OD,international
-32.41738241028702,,,3,0.27533061525376423,-54.8403367453009,-22.422954335013884,-0.2560547871945431,Nazmul Islam,6575e3bc,bangladesh|2020-06-19,False,bowl,T20,club
-72.25736995846252,20.973345030089387,102.32937539153788,3,0.5369580595449847,-62.269839495463785,9.987530462998732,-3.784088995758154,Shadab Khan,9de62878,pakistan|2020-06-13,True,bowl,OD,international
-18.783221665466492,-22.389254605091043,-4.241814019012697,3,0.3697762075259206,-28.30157188325856,-9.518350217792069,-2.660943306266269,Fakhar Zaman,1777c020,pakistan|2020-06-13,True,bat,OD,international
26.00524730819537,-5.96765286957966,40.08234411001829,3,0.33133072348787584,6.887140829182485,-19.118106479012884,0.823884579855303,Mohammad Rizwan,2f26ac1a,pakistan|2020-06-13,False,bat,T20,international
41.607971647829544,-2.5498978792564926,41.40444387462848,3,0.15602984677758633,-66.86805303873356,-108.47602468656311,2.018502945623905,Wahab Riaz,b3118300,pakistan|2020-06-13,True,bowl,OD,international
14.223826523405434,-48.644461116712435,,3,0.3082871031531499,4.583926265414956,-9.639900257990478,1.3209115131392681,Karun Nair,944533a5,india|2020-08-12,False,bat,T20,club
25.671634442753067,0.7919538562715722,,3,0.2673009477413155,22.091054723318145,-3.5805797194349225,0.817458174012737,Ruturaj Gaikwad,45a43fe2,india|2020-08-28,False,bat,T20,club
33.375867881607554,,,3,1.5620136335648906,39.46024255434327,6.084374672735713,3.3318253414665158,Abu Jayed,1bb0993e,bangladesh|2020-09-07,False,bowl,MD,international
-3.2673868194001807,,25.921011418145884,3,2.1096221490309763,3.3195470005576357,6.5869338199578165,2.058364161917211,Regis Chakabva,2f0d7e4a,zimbabwe|2020-10-22,True,bat,MD,international
