effect,effect_late,held_out_diff,n_matches,mean_dist,infected_delta,matches_delta,form2_gap,player,player_id,cluster,in_season,role,fmt,level
2.4535286946776056,1.248508505017387,,3,0.38964080404978824,2.992690581720204,0.5391618870425985,0.014465786697549086,Shahid Afridi,0dc00542,pakistan|2020-06-13,False,all,T20,club
1.3196505505582794,1.5132378653412288,,3,1.2478083471003776,1.1897257024230865,-0.1299248481351928,0.01600641358346727,Mashrafe Mortaza,e186f49c,bangladesh|2020-06-19,False,bowl,T20,club
1.1547151946317082,,,3,0.647736949975584,2.543212244767818,1.3884970501361098,-0.19034715473436725,Nazmul Islam,6575e3bc,bangladesh|2020-06-19,False,bowl,T20,club
-1.039876065499027,-0.6563618294325192,,3,1.063357348245108,-0.849545139518273,0.19033092598075382,0.09693487458941058,Shadab Khan,9de62878,pakistan|2020-06-13,False,all,MD,international
-1.4912219239713245,,,3,0.9929985480546978,-0.8830133730368562,0.6082085509344682,0.002441173339756686,Haris Rauf,24bb1c2f,pakistan|2020-06-13,False,bowl,T20,international
-0.018958999551975886,-1.8398941912715598,,3,1.3106213238709616,-0.6629116033063165,-0.6439526037543406,0.09264932187655672,Wahab Riaz,b3118300,pakistan|2020-06-13,False,bowl,T20,international
2.395317017435585,1.6704178723202554,,3,1.0493399133330965,1.8413451132763878,-0.5539719041591971,0.24627985602380897,Mohammad Hasnain,8596fe80,pakistan|2020-06-13,False,bowl,OD,international
1.0778632884875492,0.23909070903525897,,3,0.06757413514153232,-0.8112096739341067,-1.8890729624216558,0.0,Deepak Chahar,23eeb873,india|2020-08-28,False,bowl,T20,club
-0.38903320294151555,-0.49639722159908317,,3,0.49696978865774394,-0.2616086983065676,0.127424504634948,0.0,Abu Jayed,1bb0993e,bangladesh|2020-09-07,False,bowl,MD,international
-2.2141580577469693,-0.6726494610315744,,3,0.8029448072056443,-2.15251834268077,0.06163971506619892,0.0,Mahmudullah,bf1d7d3e,bangladesh|2020-11-06,False,all,OD,international
-2.685504406792195,-0.8029491662264054,-4.384723537816832,3,0.7785496375736068,-2.61178395823563,0.07372044855656494,0.19531325453675652,Sohail Tanvir,64d43928,pakistan|2020-11-20,True,all,T20,club
0.6312555949135041,0.22847213681803424,,3,1.8477875437297342,0.08415911305810164,-0.5470964818554025,0.3601674297402434,Mohammad Abbas,a089f93f,pakistan|2020-11-20,False,bowl,MD,international
-1.2573811689596097,1.628443398053229,,3,2.9354551569495353,-1.2742290506363425,-0.016847881676732773,0.000826731986021359,Naseem Shah,9c9af282,pakistan|2020-11-20,False,bowl,MD,international
-0.06905598851882913,-0.6994548209954314,0.8560220217752565,3,1.2101630566266806,0.09712996559962778,0.1661859541184569,-0.0294588607821773,Sandeep Lamichhane,b410bd3d,nepal|2020-11-25,False,bowl,T20,club
1.130181721392765,,-0.7149794778819901,3,0.62492395319014,0.8793226426611094,-0.25085907873165564,-0.0015467137371793158,Dilbar Hussain,a968d8eb,pakistan|2020-11-20,True,bowl,T20,club
-0.8769708519427648,-1.6010725578680889,-1.5825513503371575,3,19.664459000253373,-1.3236207791054821,-0.4466499271627174,0.9151724057872445,Mujeeb Ur Rahman,7d92277a,afghanistan|2020-12-04,False,bowl,T20,club
